comparison,a,b,auroc_diff,auroc_diff_ci_lower,auroc_diff_ci_upper,auroc_diff_excludes_zero,brier_diff,brier_diff_ci_lower,brier_diff_ci_upper,brier_diff_excludes_zero,ece_10bins_diff,ece_10bins_diff_ci_lower,ece_10bins_diff_ci_upper,ece_10bins_diff_excludes_zero,selective_risk_full_cov_diff,selective_risk_full_cov_diff_ci_lower,selective_risk_full_cov_diff_ci_upper,selective_risk_full_cov_diff_excludes_zero
logreg vs lightgbm (uncalibrated),logistic_regression__uncalibrated,lightgbm__uncalibrated,-0.05847953216374269,-0.08739678237080534,-0.03016088145972951,True,0.022422963332684204,0.00847691907426743,0.035887988103150574,True,-0.007356870342347971,-0.04066353393579093,0.031613542732175585,False,0.037128712871287106,-0.0024752475247524774,0.07920792079207922,False
lightgbm: isotonic vs platt,lightgbm__isotonic,lightgbm__platt,-0.004480084330999334,-0.010794242401425649,0.001707639986948605,False,0.002650954178662762,-0.0017380816407746684,0.007098318293960264,False,-0.0015248792952996942,-0.026702319648601078,0.02676280923173191,False,-0.007425742574257432,-0.02970297029702973,0.017326732673267287,False
lightgbm: uncalibrated vs dwac,lightgbm__uncalibrated,lightgbm__dwac,-0.0006400120472855875,-0.001682227743894768,0.00010070777802902968,False,0.0011326769005992332,-0.004006046879999581,0.006047581167724703,False,0.020854240122711608,-0.009959834814929538,0.041611420757600145,False,0.007425742574257432,-0.0024752475247524774,0.019801980198019764,False
logreg: uncalibrated vs dwac,logistic_regression__uncalibrated,logistic_regression__dwac,-0.0004392239540194076,-0.0033509650377733014,0.0020593328815601457,False,-0.0008648408110106809,-0.007000047090673182,0.004555940636194743,False,-0.008859722829559755,-0.0380656261955117,0.02615371175035019,False,0.01980198019801982,-0.007487623762376241,0.05198019801980197,False
lightgbm: platt vs dwac,lightgbm__platt,lightgbm__dwac,-0.0006400120472855875,-0.001682227743894768,0.00010070777802902968,False,-0.0007384405642659742,-0.004477337753570489,0.0026457078545531003,False,0.0072776301382130384,-0.017056576774618453,0.028023320374134384,False,0.007425742574257432,-0.017326732673267287,0.02970297029702973,False
