model,calibration_method,split,brier_score,adaptive_ece,mce,nll,calibration_intercept,calibration_slope,ece_10bins,ece_15bins
lightgbm,dwac,validation,0.14362664758519395,0.0247669383679789,0.05272220741708104,0.4363071934237493,-0.0029860329395840724,1.0423421449566324,0.011254949259943513,0.01783040984887031
lightgbm,dwac,test,0.1813831984243816,0.0561731274718424,0.21647414887336852,0.545862551143137,0.10924805889616208,0.6758063988306514,0.05609693058907653,0.0681404150895375
logistic_regression,dwac,validation,0.16790932640556586,0.023413626733269185,0.3055377003771995,0.49567353439763684,0.0009768740253373511,1.0768125956088939,0.03431001905592355,0.02167230022538544
logistic_regression,dwac,test,0.2058036794686757,0.07994151872037264,0.16392706600813284,0.6270223230405858,0.011902297296339872,0.5378802348661539,0.0784540231989999,0.09367215649818678
