model,calibration_method,n_test,auroc,brier_score,ece,auroc_ci_lower,auroc_ci_upper,brier_score_ci_lower,brier_score_ci_upper,ece_ci_lower,ece_ci_upper,auprc,primary_threshold,sensitivity_at_primary_threshold,specificity_at_primary_threshold,ppv_at_primary_threshold,npv_at_primary_threshold,f1_score_at_primary_threshold,balanced_accuracy_at_primary_threshold
logistic_regression,uncalibrated,404,0.7496674447205282,0.20493883865766505,0.06959430036944016,0.6992269658409258,0.7974581482318099,0.18525184268538292,0.22659786668950832,0.059998042495014135,0.11822062152598245,0.8002079509213909,0.5,0.6566523605150214,0.7251461988304093,0.765,0.6078431372549019,0.7066974595842956,0.6908992796727154
logistic_regression,platt,404,0.7496674447205282,0.2047543859384112,0.08018085597618946,0.6992269658409258,0.7974581482318099,0.182344335847386,0.22821409459259986,0.06002815664530048,0.12787924721658472,0.8002079509213909,0.5,0.7725321888412017,0.6140350877192983,0.7317073170731707,0.6645569620253164,0.7515657620041754,0.69328363828025
logistic_regression,isotonic,404,0.7441206736440528,0.20818117940757855,0.08445211297536158,0.6924233867931632,0.7930671636171975,0.18499386528807832,0.23254963287025873,0.06460074388380019,0.1358048919355528,0.7736782934230705,0.5,0.7639484978540773,0.6257309941520468,0.7355371900826446,0.6604938271604939,0.7494736842105263,0.694839746003062
lightgbm,uncalibrated,404,0.8081469768842708,0.18251587532498084,0.07695117071178811,0.7645483522827097,0.8492928494340286,0.1604697888251107,0.20545854758516352,0.0628769288647679,0.12126183835804996,0.8621220535242242,0.5,0.6824034334763949,0.7777777777777778,0.8071065989847716,0.642512077294686,0.7395348837209303,0.7300906056270864
lightgbm,platt,404,0.8081469768842708,0.18064475786011563,0.06337456072728953,0.7645483522827097,0.8492928494340286,0.15771277084744154,0.2039706600245506,0.04380270007109844,0.11021709823168209,0.8621220535242242,0.5,0.7467811158798283,0.6900584795321637,0.7665198237885462,0.6666666666666666,0.7565217391304347,0.7184197977059961
lightgbm,isotonic,404,0.8036668925532715,0.18329571203877842,0.06184968143198991,0.7594266872474462,0.8456457219586878,0.1596600340626692,0.20821223700794791,0.046139358067859036,0.11129190716179847,0.8406289474296131,0.5,0.6995708154506438,0.7719298245614035,0.806930693069307,0.6534653465346535,0.749425287356322,0.7357503200060236
