comparison,auroc_diff,auroc_diff_ci_lower,auroc_diff_ci_upper,auroc_diff_excludes_zero,brier_diff,brier_diff_ci_lower,brier_diff_ci_upper,brier_diff_excludes_zero,ece_10bins_diff,ece_10bins_diff_ci_lower,ece_10bins_diff_ci_upper,ece_10bins_diff_excludes_zero,selective_risk_full_cov_diff,selective_risk_full_cov_diff_ci_lower,selective_risk_full_cov_diff_ci_upper,selective_risk_full_cov_diff_excludes_zero
logreg vs lightgbm (uncalibrated),-0.05102908253780514,-0.06446607213257849,-0.03842128143392195,True,0.0247998547446866,0.018528008989264134,0.03148444652391403,True,0.0060971819433447635,-0.007955124182797372,0.0157910684605069,False,0.04355885078776647,0.025949953660797026,0.061631139944392954,True
lightgbm: isotonic vs platt,-0.0007326075019007394,-0.0020315008025681646,0.000545990590943595,False,0.00011358471278261062,-0.0010188926263243205,0.001219607165458024,False,0.007094632972703345,-0.008099347350579204,0.016938427912318817,False,-0.0013901760889712678,-0.005097312326227982,0.0023169601482854463,False
lightgbm: uncalibrated vs dwac,-3.3880346934855865e-05,-0.00032219329925939897,0.00023071636253539903,False,0.002289887145273034,0.0005407217675449973,0.004075768456431064,True,0.01884509106524563,-0.0006700970664660771,0.03242861789699396,False,0.003243744207599625,-0.008341056533827607,0.013438368860055616,False
logreg: uncalibrated vs dwac,6.688068485827259e-05,-0.0005985381290305014,0.0006099782461771062,False,0.0029444946007253503,0.001042575898279713,0.004834411311000214,True,0.03196024872834673,0.008947433267038875,0.04358192712631873,True,0.0032437442075996525,-0.006950880444856367,0.012511584800741438,False
lightgbm: platt vs dwac,-3.3880346934855865e-05,-0.00032219329925939897,0.00023071636253539903,False,0.00020859532728842445,-0.0007799629967729822,0.001235766327750294,False,-0.0035705336315854305,-0.013697037729980153,0.011373761678831482,False,0.0013901760889712678,-0.0023169601482854463,0.0046339202965708925,False
