model,calibration_method,n_test,auroc,auroc_ci_lower,auroc_ci_upper,auprc,auprc_ci_lower,auprc_ci_upper
lightgbm,dwac,2158,0.8464265474078455,0.8303671749598716,0.861806728900904,0.8931771157401712,0.8809490506048923,0.904335578133972
lightgbm,isotonic,2158,0.8456600595590099,0.8291296842879672,0.8610481721332826,0.8821802667702713,0.869099275558215,0.8941246206519226
lightgbm,platt,2158,0.8463926670609107,0.8304884842020783,0.8618378372194532,0.8931548000927417,0.880920364567782,0.9043125965864728
lightgbm,uncalibrated,2158,0.8463926670609107,0.8304884842020783,0.8618378372194532,0.8931548000927417,0.880920364567782,0.9043125965864728
logistic_regression,dwac,2158,0.7952967038382472,0.776182358107347,0.814589383395286,0.8479542230930298,0.831119128697666,0.8636447601316795
logistic_regression,isotonic,2158,0.7933017234096478,0.774375479604911,0.8120643625390725,0.8333281793801717,0.8164102685622685,0.8495672067159799
logistic_regression,platt,2158,0.7953635845231055,0.7761462557376587,0.8141802672059363,0.8479863928246689,0.83114940089958,0.8636019445192289
logistic_regression,uncalibrated,2158,0.7953635845231055,0.7761462557376587,0.8141802672059363,0.8479863928246689,0.83114940089958,0.8636019445192289
